"From","To","Sum"
"Austria","Israel",85
"Azerbaijan","Israel",39
"Belarus","Israel",23
"Belgium","Israel",124
"Bosnia & Herzegovina","Israel",29
"Bulgaria","Israel",17
"Croatia","Israel",44
"Cyprus","Israel",66
"Czech Republic","Israel",16
"Denmark","Israel",55
"Estonia","Israel",21
"F.Y.R. Macedonia/North Macedonia","Israel",23
"Finland","Israel",153
"France","Israel",192
"Georgia","Israel",21
"Germany","Israel",131
"Greece","Israel",50
"Hungary","Israel",22
"Iceland","Israel",40
"Ireland","Israel",106
"Italy","Israel",76
"Latvia","Israel",13
"Lithuania","Israel",29
"Luxembourg","Israel",84
"Malta","Israel",72
"Moldova","Israel",23
"Monaco","Israel",38
"Montenegro","Israel",12
"Netherlands","Israel",134
"Norway","Israel",120
"Poland","Israel",54
"Portugal","Israel",128
"Romania","Israel",32
"Russia","Israel",40
"San Marino","Israel",24
"Serbia","Israel",35
"Slovakia","Israel",13
"Slovenia","Israel",31
"Spain","Israel",123
"Sweden","Israel",98
"Switzerland","Israel",141
"Turkey","Israel",50
"Ukraine","Israel",40
"United Kingdom","Israel",138
"Yugoslavia","Israel",61
"Albania","Italy",108
"Armenia","Italy",33
"Austria","Italy",117
"Azerbaijan","Italy",30
"Belarus","Italy",11
"Belgium","Italy",127
"Bosnia & Herzegovina","Italy",12
"Bulgaria","Italy",11
"Croatia","Italy",63
"Cyprus","Italy",110
"Czech Republic","Italy",25
"Denmark","Italy",33
"Estonia","Italy",34
"F.Y.R. Macedonia/North Macedonia","Italy",54
"Finland","Italy",172
"France","Italy",161
"Georgia","Italy",53
"Germany","Italy",112
"Greece","Italy",92
"Hungary","Italy",21
"Iceland","Italy",47
"Ireland","Italy",115
"Israel","Italy",65
"Latvia","Italy",33
"Lithuania","Italy",40
"Luxembourg","Italy",82
"Malta","Italy",147
"Moldova","Italy",22
"Monaco","Italy",55
"Montenegro","Italy",44
"Netherlands","Italy",74
"Norway","Italy",107
"Poland","Italy",40
"Portugal","Italy",200
"Romania","Italy",38
"Russia","Italy",30
"San Marino","Italy",87
"Serbia","Italy",49
"Slovakia","Italy",5
"Slovenia","Italy",80
"Spain","Italy",224
"Sweden","Italy",96
"Switzerland","Italy",176
"Turkey","Italy",76
"Ukraine","Italy",18
"United Kingdom","Italy",72
"Yugoslavia","Italy",94
"Andorra","Latvia",12
"Armenia","Latvia",2
"Austria","Latvia",19
"Azerbaijan","Latvia",5
"Belarus","Latvia",11
"Belgium","Latvia",32
"Bosnia & Herzegovina","Latvia",5
"Croatia","Latvia",14
"Cyprus","Latvia",9
"Czech Republic","Latvia",9
"Denmark","Latvia",31
"Estonia","Latvia",81
"F.Y.R. Macedonia/North Macedonia","Latvia",13
"Finland","Latvia",28
"France","Latvia",18
"Georgia","Latvia",13
"Germany","Latvia",34
"Greece","Latvia",14
"Hungary","Latvia",14
"Iceland","Latvia",24
"Ireland","Latvia",59
"Israel","Latvia",27
"Italy","Latvia",4
"Lithuania","Latvia",79
"Malta","Latvia",32
"Moldova","Latvia",14
"Monaco","Latvia",8
"Montenegro","Latvia",3
"Netherlands","Latvia",9
"Norway","Latvia",31
"Poland","Latvia",21
"Portugal","Latvia",16
"Romania","Latvia",7
"Russia","Latvia",22
"San Marino","Latvia",12
"Serbia","Latvia",1
"Slovenia","Latvia",32
"Spain","Latvia",25
"Sweden","Latvia",26
"Switzerland","Latvia",22
"Turkey","Latvia",6
"Ukraine","Latvia",13
"United Kingdom","Latvia",44
"Andorra","Lithuania",8
"Austria","Lithuania",8
"Azerbaijan","Lithuania",13
"Belarus","Lithuania",36
"Belgium","Lithuania",4
"Bosnia & Herzegovina","Lithuania",2
"Bulgaria","Lithuania",18
"Croatia","Lithuania",31
"Cyprus","Lithuania",9
"Czech Republic","Lithuania",4
"Denmark","Lithuania",21
"Estonia","Lithuania",39
"F.Y.R. Macedonia/North Macedonia","Lithuania",3
"Finland","Lithuania",17
"France","Lithuania",3
"Georgia","Lithuania",44
"Germany","Lithuania",8
"Greece","Lithuania",4
"Hungary","Lithuania",8
"Iceland","Lithuania",12
"Ireland","Lithuania",62
"Israel","Lithuania",21
"Italy","Lithuania",21
"Latvia","Lithuania",84
"Malta","Lithuania",10
"Moldova","Lithuania",8
"Monaco","Lithuania",7
"Montenegro","Lithuania",3
"Netherlands","Lithuania",19
"Norway","Lithuania",27
"Poland","Lithuania",26
"Portugal","Lithuania",15
"Romania","Lithuania",7
"Russia","Lithuania",29
"San Marino","Lithuania",14
"Serbia","Lithuania",17
"Serbia & Montenegro","Lithuania",3
"Slovenia","Lithuania",23
"Spain","Lithuania",7
"Sweden","Lithuania",6
"Switzerland","Lithuania",19
"Ukraine","Lithuania",28
"United Kingdom","Lithuania",50
"Austria","Luxembourg",72
"Belgium","Luxembourg",76
"Cyprus","Luxembourg",32
"Denmark","Luxembourg",36
"Finland","Luxembourg",83
"France","Luxembourg",89
"Germany","Luxembourg",83
"Greece","Luxembourg",25
"Iceland","Luxembourg",9
"Ireland","Luxembourg",95
"Israel","Luxembourg",45
"Italy","Luxembourg",79
"Malta","Luxembourg",36
"Monaco","Luxembourg",43
"Netherlands","Luxembourg",81
"Norway","Luxembourg",61
"Portugal","Luxembourg",97
"Slovenia","Luxembourg",1
"Spain","Luxembourg",71
"Sweden","Luxembourg",81
"Switzerland","Luxembourg",53
"Turkey","Luxembourg",26
"United Kingdom","Luxembourg",87
"Yugoslavia","Luxembourg",69
"Albania","Malta",19
"Andorra","Malta",7
"Armenia","Malta",18
"Austria","Malta",60
"Azerbaijan","Malta",44
"Belarus","Malta",32
"Belgium","Malta",56
"Bosnia & Herzegovina","Malta",46
"Bulgaria","Malta",12
"Croatia","Malta",85
"Cyprus","Malta",69
"Czech Republic","Malta",16
"Denmark","Malta",66
"Estonia","Malta",41
"F.Y.R. Macedonia/North Macedonia","Malta",35
"Finland","Malta",42
"France","Malta",49
"Georgia","Malta",4
"Germany","Malta",77
"Greece","Malta",79
"Hungary","Malta",30
"Iceland","Malta",25
"Ireland","Malta",105
"Israel","Malta",47
"Italy","Malta",63
"Latvia","Malta",35
"Lithuania","Malta",28
"Luxembourg","Malta",31
"Moldova","Malta",11
"Monaco","Malta",10
"Montenegro","Malta",18
"Netherlands","Malta",58
"Norway","Malta",74
"Poland","Malta",28
"Portugal","Malta",41
"Romania","Malta",39
"Russia","Malta",50
"San Marino","Malta",26
"Serbia","Malta",23
"Slovakia","Malta",34
"Slovenia","Malta",24
"Spain","Malta",92
"Sweden","Malta",86
"Switzerland","Malta",53
"Turkey","Malta",78
"Ukraine","Malta",25
"United Kingdom","Malta",103
"Yugoslavia","Malta",17
"Albania","Moldova",2
"Andorra","Moldova",4
"Armenia","Moldova",24
"Austria","Moldova",10
"Azerbaijan","Moldova",46
"Belarus","Moldova",35
"Belgium","Moldova",9
"Bosnia & Herzegovina","Moldova",4
"Bulgaria","Moldova",25
"Croatia","Moldova",15
"Cyprus","Moldova",14
"Czech Republic","Moldova",3
"Denmark","Moldova",10
"Estonia","Moldova",6
"F.Y.R. Macedonia/North Macedonia","Moldova",19
"Finland","Moldova",5
"France","Moldova",10
"Georgia","Moldova",9
"Germany","Moldova",5
"Greece","Moldova",53
"Hungary","Moldova",11
"Iceland","Moldova",8
"Ireland","Moldova",13
"Israel","Moldova",18
"Italy","Moldova",29
"Latvia","Moldova",9
"Lithuania","Moldova",16
"Malta","Moldova",2
"Montenegro","Moldova",16
"Netherlands","Moldova",2
"Norway","Moldova",14
"Poland","Moldova",14
"Portugal","Moldova",58
"Romania","Moldova",122
"Russia","Moldova",64
"San Marino","Moldova",23
"Serbia","Moldova",19
"Serbia & Montenegro","Moldova",5
"Slovakia","Moldova",5
"Slovenia","Moldova",11
"Spain","Moldova",33
"Sweden","Moldova",10
"Switzerland","Moldova",2
"Turkey","Moldova",22
"Ukraine","Moldova",53
"United Kingdom","Moldova",16
"Austria","Monaco",28
"Belgium","Monaco",38
"Denmark","Monaco",16
"Finland","Monaco",41
"France","Monaco",42
"Germany","Monaco",55
"Greece","Monaco",16
"Ireland","Monaco",38
"Israel","Monaco",24
"Italy","Monaco",56
"Luxembourg","Monaco",41
"Malta","Monaco",11
"Netherlands","Monaco",46
"Norway","Monaco",32
"Portugal","Monaco",31
"Spain","Monaco",39
"Sweden","Monaco",43
"Switzerland","Monaco",40
"Turkey","Monaco",5
"United Kingdom","Monaco",58
"Yugoslavia","Monaco",31
"Albania","Montenegro",12
"Armenia","Montenegro",20
"Azerbaijan","Montenegro",2
"F.Y.R. Macedonia/North Macedonia","Montenegro",16
"Serbia","Montenegro",12
"Slovenia","Montenegro",17
"Sweden","Montenegro",2
"Albania","Netherlands",10
"Armenia","Netherlands",17
"Austria","Netherlands",132
"Azerbaijan","Netherlands",4
"Belarus","Netherlands",13
"Belgium","Netherlands",142
"Bosnia & Herzegovina","Netherlands",18
"Bulgaria","Netherlands",14
"Croatia","Netherlands",33
"Cyprus","Netherlands",32
"Czech Republic","Netherlands",21
"Denmark","Netherlands",86
"Estonia","Netherlands",45
"F.Y.R. Macedonia/North Macedonia","Netherlands",21
"Finland","Netherlands",103
"France","Netherlands",157
"Georgia","Netherlands",20
"Germany","Netherlands",141
"Greece","Netherlands",64
"Hungary","Netherlands",48
"Iceland","Netherlands",61
"Ireland","Netherlands",140
"Israel","Netherlands",119
"Italy","Netherlands",92
"Latvia","Netherlands",36
"Lithuania","Netherlands",43
"Luxembourg","Netherlands",82
"Malta","Netherlands",54
"Moldova","Netherlands",4
"Monaco","Netherlands",33
"Montenegro","Netherlands",6
"Norway","Netherlands",125
"Poland","Netherlands",43
"Portugal","Netherlands",104
"Romania","Netherlands",33
"Russia","Netherlands",17
"San Marino","Netherlands",16
"Serbia","Netherlands",12
"Slovakia","Netherlands",6
"Slovenia","Netherlands",58
"Spain","Netherlands",116
"Sweden","Netherlands",115
"Switzerland","Netherlands",142
"Turkey","Netherlands",76
"Ukraine","Netherlands",19
"United Kingdom","Netherlands",109
"Yugoslavia","Netherlands",67
"Albania","Norway",16
"Andorra","Norway",13
"Armenia","Norway",30
"Austria","Norway",64
"Azerbaijan","Norway",15
"Belarus","Norway",43
"Belgium","Norway",142
"Bosnia & Herzegovina","Norway",32
"Bulgaria","Norway",7
"Croatia","Norway",46
"Cyprus","Norway",68
"Czech Republic","Norway",5
"Denmark","Norway",156
"Estonia","Norway",89
"F.Y.R. Macedonia/North Macedonia","Norway",18
"Finland","Norway",130
"France","Norway",71
"Georgia","Norway",22
"Germany","Norway",147
"Greece","Norway",58
"Hungary","Norway",46
"Iceland","Norway",146
"Ireland","Norway",159
"Israel","Norway",99
"Italy","Norway",76
"Latvia","Norway",70
"Lithuania","Norway",51
"Luxembourg","Norway",49
"Malta","Norway",60
"Moldova","Norway",30
"Monaco","Norway",27
"Montenegro","Norway",21
"Netherlands","Norway",132
"Poland","Norway",68
"Portugal","Norway",96
"Romania","Norway",32
"Russia","Norway",55
"San Marino","Norway",31
"Serbia","Norway",27
"Serbia & Montenegro","Norway",2
"Slovakia","Norway",13
"Slovenia","Norway",65
"Spain","Norway",72
"Sweden","Norway",213
"Switzerland","Norway",104
"Turkey","Norway",51
"Ukraine","Norway",38
"United Kingdom","Norway",114
"Yugoslavia","Norway",27
"Armenia","Poland",1
"Austria","Poland",34
"Azerbaijan","Poland",12
"Belarus","Poland",9
"Belgium","Poland",7
"Bosnia & Herzegovina","Poland",25
"Bulgaria","Poland",7
"Croatia","Poland",8
"Cyprus","Poland",7
"Czech Republic","Poland",1
"Denmark","Poland",6
"Estonia","Poland",19
"F.Y.R. Macedonia/North Macedonia","Poland",7
"Finland","Poland",8
"France","Poland",39
"Georgia","Poland",2
"Germany","Poland",56
"Greece","Poland",32
"Hungary","Poland",21
"Iceland","Poland",18
"Ireland","Poland",20
"Israel","Poland",8
"Italy","Poland",10
"Latvia","Poland",8
"Lithuania","Poland",29
"Malta","Poland",16
"Moldova","Poland",2
"Montenegro","Poland",5
"Netherlands","Poland",13
"Norway","Poland",21
"Portugal","Poland",10
"Romania","Poland",22
"Russia","Poland",6
"San Marino","Poland",5
"Slovakia","Poland",6
"Slovenia","Poland",15
"Spain","Poland",8
"Sweden","Poland",8
"Switzerland","Poland",10
"Turkey","Poland",7
"Ukraine","Poland",26
"United Kingdom","Poland",28
"Albania","Portugal",7
"Andorra","Portugal",16
"Armenia","Portugal",24
"Austria","Portugal",52
"Azerbaijan","Portugal",17
"Belarus","Portugal",10
"Belgium","Portugal",62
"Bosnia & Herzegovina","Portugal",2
"Bulgaria","Portugal",10
"Croatia","Portugal",32
"Cyprus","Portugal",30
"Czech Republic","Portugal",36
"Denmark","Portugal",32
"Estonia","Portugal",26
"F.Y.R. Macedonia/North Macedonia","Portugal",14
"Finland","Portugal",51
"France","Portugal",182
"Georgia","Portugal",27
"Germany","Portugal",64
"Greece","Portugal",62
"Hungary","Portugal",19
"Iceland","Portugal",69
"Ireland","Portugal",48
"Israel","Portugal",35
"Italy","Portugal",53
"Latvia","Portugal",24
"Lithuania","Portugal",33
"Luxembourg","Portugal",70
"Malta","Portugal",32
"Moldova","Portugal",19
"Monaco","Portugal",22
"Montenegro","Portugal",4
"Netherlands","Portugal",94
"Norway","Portugal",72
"Poland","Portugal",28
"Romania","Portugal",23
"Russia","Portugal",4
"San Marino","Portugal",17
"Serbia","Portugal",27
"Slovakia","Portugal",4
"Slovenia","Portugal",15
"Spain","Portugal",177
"Sweden","Portugal",62
"Switzerland","Portugal",112
"Turkey","Portugal",47
"Ukraine","Portugal",28
"United Kingdom","Portugal",58
"Yugoslavia","Portugal",30
"Albania","Romania",20
"Andorra","Romania",20
"Armenia","Romania",5
"Austria","Romania",28
"Azerbaijan","Romania",37
"Belarus","Romania",6
"Belgium","Romania",32
"Bosnia & Herzegovina","Romania",13
"Bulgaria","Romania",21
"Croatia","Romania",13
"Cyprus","Romania",53
"Denmark","Romania",24
"Estonia","Romania",5
"F.Y.R. Macedonia/North Macedonia","Romania",41
"Finland","Romania",6
"France","Romania",34
"Germany","Romania",11
"Greece","Romania",66
"Hungary","Romania",20
"Iceland","Romania",18
"Ireland","Romania",42
"Israel","Romania",89
"Italy","Romania",25
"Latvia","Romania",9
"Lithuania","Romania",5
"Malta","Romania",54
"Moldova","Romania",137
"Monaco","Romania",4
"Montenegro","Romania",11
"Netherlands","Romania",13
"Norway","Romania",31
"Poland","Romania",24
"Portugal","Romania",58
"Russia","Romania",39
"San Marino","Romania",1
"Serbia","Romania",8
"Serbia & Montenegro","Romania",7
"Slovakia","Romania",1
"Slovenia","Romania",12
"Spain","Romania",125
"Sweden","Romania",23
"Switzerland","Romania",5
"Turkey","Romania",33
"Ukraine","Romania",11
"United Kingdom","Romania",18
"Albania","Russia",33
"Andorra","Russia",14
"Armenia","Russia",102
"Austria","Russia",42
"Azerbaijan","Russia",91
"Belarus","Russia",142
"Belgium","Russia",49
"Bosnia & Herzegovina","Russia",23
"Bulgaria","Russia",42
"Croatia","Russia",71
"Cyprus","Russia",106
"Czech Republic","Russia",31
"Denmark","Russia",38
"Estonia","Russia",157
"F.Y.R. Macedonia/North Macedonia","Russia",55
"Finland","Russia",66
"France","Russia",49
"Georgia","Russia",43
"Germany","Russia",70
"Greece","Russia",93
"Hungary","Russia",38
"Iceland","Russia",49
"Ireland","Russia",57
"Israel","Russia",119
"Italy","Russia",20
"Latvia","Russia",141
"Lithuania","Russia",105
"Malta","Russia",71
"Moldova","Russia",112
"Montenegro","Russia",50
"Netherlands","Russia",44
"Norway","Russia",47
"Poland","Russia",43
"Portugal","Russia",55
"Romania","Russia",73
"San Marino","Russia",27
"Serbia","Russia",47
"Serbia & Montenegro","Russia",6
"Slovakia","Russia",9
"Slovenia","Russia",69
"Spain","Russia",57
"Sweden","Russia",49
"Switzerland","Russia",15
"Turkey","Russia",43
"Ukraine","Russia",104
"United Kingdom","Russia",43
"Albania","San Marino",8
"Armenia","San Marino",3
"Azerbaijan","San Marino",3
"Denmark","San Marino",5
"France","San Marino",4
"Greece","San Marino",13
"Hungary","San Marino",4
"Malta","San Marino",2
"Moldova","San Marino",1
"Poland","San Marino",12
"Russia","San Marino",5
"United Kingdom","San Marino",3
"Albania","Serbia",17
"Armenia","Serbia",11
"Austria","Serbia",34
"Azerbaijan","Serbia",12
"Belarus","Serbia",8
"Belgium","Serbia",16
"Bosnia & Herzegovina","Serbia",64
"Bulgaria","Serbia",27
"Croatia","Serbia",79
"Cyprus","Serbia",20
"Czech Republic","Serbia",17
"Denmark","Serbia",6
"Estonia","Serbia",4
"F.Y.R. Macedonia/North Macedonia","Serbia",94
"Finland","Serbia",23
"France","Serbia",33
"Georgia","Serbia",6
"Germany","Serbia",34
"Greece","Serbia",20
"Hungary","Serbia",23
"Iceland","Serbia",15
"Ireland","Serbia",9
"Israel","Serbia",5
"Italy","Serbia",17
"Latvia","Serbia",3
"Lithuania","Serbia",11
"Malta","Serbia",14
"Moldova","Serbia",9
"Montenegro","Serbia",90
"Netherlands","Serbia",31
"Norway","Serbia",32
"Poland","Serbia",25
"Portugal","Serbia",17
"Romania","Serbia",21
"Russia","Serbia",13
"San Marino","Serbia",14
"Slovakia","Serbia",7
"Slovenia","Serbia",71
"Spain","Serbia",11
"Sweden","Serbia",37
"Switzerland","Serbia",55
"Ukraine","Serbia",8
"United Kingdom","Serbia",4
"Albania","Serbia & Montenegro",13
"Andorra","Serbia & Montenegro",2
"Austria","Serbia & Montenegro",24
"Belarus","Serbia & Montenegro",10
"Belgium","Serbia & Montenegro",3
"Bosnia & Herzegovina","Serbia & Montenegro",22
"Bulgaria","Serbia & Montenegro",4
"Croatia","Serbia & Montenegro",24
"Cyprus","Serbia & Montenegro",20
"Denmark","Serbia & Montenegro",7
"Estonia","Serbia & Montenegro",1
"F.Y.R. Macedonia/North Macedonia","Serbia & Montenegro",20
"Finland","Serbia & Montenegro",10
"France","Serbia & Montenegro",16
"Germany","Serbia & Montenegro",13
"Greece","Serbia & Montenegro",14
"Hungary","Serbia & Montenegro",2
"Iceland","Serbia & Montenegro",7
"Ireland","Serbia & Montenegro",3
"Israel","Serbia & Montenegro",7
"Latvia","Serbia & Montenegro",6
"Lithuania","Serbia & Montenegro",2
"Malta","Serbia & Montenegro",6
"Moldova","Serbia & Montenegro",1
"Monaco","Serbia & Montenegro",7
"Netherlands","Serbia & Montenegro",14
"Norway","Serbia & Montenegro",6
"Poland","Serbia & Montenegro",5
"Portugal","Serbia & Montenegro",7
"Romania","Serbia & Montenegro",14
"Russia","Serbia & Montenegro",16
"Slovenia","Serbia & Montenegro",22
"Spain","Serbia & Montenegro",6
"Sweden","Serbia & Montenegro",16
"Switzerland","Serbia & Montenegro",24
"Turkey","Serbia & Montenegro",8
"Ukraine","Serbia & Montenegro",15
"United Kingdom","Serbia & Montenegro",3
"Croatia","Slovakia",8
"Greece","Slovakia",7
"Malta","Slovakia",20
"Poland","Slovakia",5
"Spain","Slovakia",2
"Austria","Slovenia",19
"Azerbaijan","Slovenia",7
"Belarus","Slovenia",8
"Belgium","Slovenia",4
"Bosnia & Herzegovina","Slovenia",61
"Croatia","Slovenia",69
"Cyprus","Slovenia",11
"Czech Republic","Slovenia",23
"Denmark","Slovenia",7
"Estonia","Slovenia",11
"F.Y.R. Macedonia/North Macedonia","Slovenia",29
"Finland","Slovenia",11
"France","Slovenia",16
"Georgia","Slovenia",4
"Germany","Slovenia",10
"Greece","Slovenia",19
"Hungary","Slovenia",14
"Iceland","Slovenia",13
"Ireland","Slovenia",24
"Israel","Slovenia",17
"Italy","Slovenia",4
"Latvia","Slovenia",11
"Lithuania","Slovenia",23
"Malta","Slovenia",16
"Montenegro","Slovenia",20
"Netherlands","Slovenia",13
"Norway","Slovenia",7
"Poland","Slovenia",27
"Portugal","Slovenia",19
"Romania","Slovenia",10
"Russia","Slovenia",29
"San Marino","Slovenia",7
"Serbia","Slovenia",32
"Slovakia","Slovenia",1
"Spain","Slovenia",16
"Sweden","Slovenia",18
"Switzerland","Slovenia",2
"Turkey","Slovenia",15
"Ukraine","Slovenia",12
"United Kingdom","Slovenia",17
"Albania","Spain",61
"Andorra","Spain",60
"Armenia","Spain",31
"Austria","Spain",82
"Azerbaijan","Spain",14
"Belarus","Spain",2
"Belgium","Spain",157
"Bosnia & Herzegovina","Spain",30
"Bulgaria","Spain",21
"Croatia","Spain",48
"Cyprus","Spain",131
"Czech Republic","Spain",10
"Denmark","Spain",41
"Estonia","Spain",15
"F.Y.R. Macedonia/North Macedonia","Spain",17
"Finland","Spain",99
"France","Spain",174
"Georgia","Spain",7
"Germany","Spain",134
"Greece","Spain",142
"Hungary","Spain",18
"Iceland","Spain",32
"Ireland","Spain",86
"Israel","Spain",123
"Italy","Spain",120
"Latvia","Spain",21
"Lithuania","Spain",17
"Luxembourg","Spain",91
"Malta","Spain",72
"Moldova","Spain",19
"Monaco","Spain",57
"Montenegro","Spain",14
"Netherlands","Spain",93
"Norway","Spain",93
"Poland","Spain",22
"Portugal","Spain",209
"Romania","Spain",49
"Russia","Spain",22
"San Marino","Spain",15
"Serbia","Spain",7
"Slovakia","Spain",4
"Slovenia","Spain",23
"Sweden","Spain",75
"Switzerland","Spain",177
"Turkey","Spain",118
"Ukraine","Spain",6
"United Kingdom","Spain",96
"Yugoslavia","Spain",49
"Albania","Sweden",67
"Andorra","Sweden",17
"Armenia","Sweden",62
"Austria","Sweden",186
"Azerbaijan","Sweden",39
"Belarus","Sweden",48
"Belgium","Sweden",186
"Bosnia & Herzegovina","Sweden",52
"Bulgaria","Sweden",14
"Croatia","Sweden",45
"Cyprus","Sweden",130
"Czech Republic","Sweden",69
"Denmark","Sweden",329
"Estonia","Sweden",189
"F.Y.R. Macedonia/North Macedonia","Sweden",49
"Finland","Sweden",289
"France","Sweden",156
"Georgia","Sweden",58
"Germany","Sweden",206
"Greece","Sweden",64
"Hungary","Sweden",61
"Iceland","Sweden",209
"Ireland","Sweden",213
"Israel","Sweden",192
"Italy","Sweden",86
"Latvia","Sweden",117
"Lithuania","Sweden",96
"Luxembourg","Sweden",76
"Malta","Sweden",150
"Moldova","Sweden",72
"Monaco","Sweden",28
"Montenegro","Sweden",29
"Netherlands","Sweden",189
"Norway","Sweden",364
"Poland","Sweden",91
"Portugal","Sweden",146
"Romania","Sweden",85
"Russia","Sweden",46
"San Marino","Sweden",43
"Serbia","Sweden",58
"Serbia & Montenegro","Sweden",5
"Slovakia","Sweden",26
"Slovenia","Sweden",121
"Spain","Sweden",161
"Switzerland","Sweden",176
"Turkey","Sweden",84
"Ukraine","Sweden",58
"United Kingdom","Sweden",236
"Yugoslavia","Sweden",70
"Albania","Switzerland",29
"Andorra","Switzerland",1
"Armenia","Switzerland",12
"Austria","Switzerland",149
"Azerbaijan","Switzerland",4
"Belarus","Switzerland",14
"Belgium","Switzerland",136
"Bosnia & Herzegovina","Switzerland",4
"Bulgaria","Switzerland",7
"Croatia","Switzerland",22
"Cyprus","Switzerland",55
"Czech Republic","Switzerland",11
"Denmark","Switzerland",106
"Estonia","Switzerland",34
"F.Y.R. Macedonia/North Macedonia","Switzerland",10
"Finland","Switzerland",140
"France","Switzerland",108
"Georgia","Switzerland",14
"Germany","Switzerland",125
"Greece","Switzerland",62
"Hungary","Switzerland",7
"Iceland","Switzerland",67
"Ireland","Switzerland",124
"Israel","Switzerland",80
"Italy","Switzerland",106
"Latvia","Switzerland",30
"Lithuania","Switzerland",25
"Luxembourg","Switzerland",106
"Malta","Switzerland",60
"Moldova","Switzerland",10
"Monaco","Switzerland",52
"Montenegro","Switzerland",5
"Netherlands","Switzerland",161
"Norway","Switzerland",125
"Poland","Switzerland",30
"Portugal","Switzerland",108
"Romania","Switzerland",25
"Russia","Switzerland",13
"San Marino","Switzerland",7
"Serbia","Switzerland",11
"Slovakia","Switzerland",4
"Slovenia","Switzerland",38
"Spain","Switzerland",69
"Sweden","Switzerland",94
"Turkey","Switzerland",60
"Ukraine","Switzerland",19
"United Kingdom","Switzerland",171
"Yugoslavia","Switzerland",81
"Albania","Turkey",71
"Andorra","Turkey",3
"Armenia","Turkey",4
"Austria","Turkey",60
"Azerbaijan","Turkey",48
"Belarus","Turkey",9
"Belgium","Turkey",108
"Bosnia & Herzegovina","Turkey",95
"Bulgaria","Turkey",46
"Croatia","Turkey",48
"Cyprus","Turkey",12
"Czech Republic","Turkey",1
"Denmark","Turkey",58
"Estonia","Turkey",12
"F.Y.R. Macedonia/North Macedonia","Turkey",79
"Finland","Turkey",41
"France","Turkey",151
"Georgia","Turkey",20
"Germany","Turkey",170
"Greece","Turkey",36
"Hungary","Turkey",20
"Iceland","Turkey",21
"Ireland","Turkey",16
"Israel","Turkey",33
"Italy","Turkey",23
"Latvia","Turkey",2
"Lithuania","Turkey",8
"Luxembourg","Turkey",19
"Malta","Turkey",63
"Moldova","Turkey",1
"Monaco","Turkey",11
"Montenegro","Turkey",4
"Netherlands","Turkey",132
"Norway","Turkey",50
"Poland","Turkey",10
"Portugal","Turkey",16
"Romania","Turkey",70
"Russia","Turkey",16
"San Marino","Turkey",9
"Serbia","Turkey",3
"Serbia & Montenegro","Turkey",2
"Slovenia","Turkey",15
"Spain","Turkey",53
"Sweden","Turkey",54
"Switzerland","Turkey",104
"Ukraine","Turkey",21
"United Kingdom","Turkey",94
"Yugoslavia","Turkey",42
"Albania","Ukraine",23
"Andorra","Ukraine",33
"Armenia","Ukraine",65
"Austria","Ukraine",14
"Azerbaijan","Ukraine",104
"Belarus","Ukraine",103
"Belgium","Ukraine",38
"Bosnia & Herzegovina","Ukraine",31
"Bulgaria","Ukraine",39
"Croatia","Ukraine",49
"Cyprus","Ukraine",52
"Czech Republic","Ukraine",41
"Denmark","Ukraine",36
"Estonia","Ukraine",69
"F.Y.R. Macedonia/North Macedonia","Ukraine",41
"Finland","Ukraine",21
"France","Ukraine",19
"Georgia","Ukraine",82
"Germany","Ukraine",33
"Greece","Ukraine",49
"Hungary","Ukraine",26
"Iceland","Ukraine",45
"Ireland","Ukraine",42
"Israel","Ukraine",102
"Italy","Ukraine",46
"Latvia","Ukraine",106
"Lithuania","Ukraine",94
"Malta","Ukraine",51
"Moldova","Ukraine",115
"Monaco","Ukraine",8
"Montenegro","Ukraine",19
"Netherlands","Ukraine",27
"Norway","Ukraine",26
"Poland","Ukraine",106
"Portugal","Ukraine",77
"Romania","Ukraine",44
"Russia","Ukraine",83
"San Marino","Ukraine",14
"Serbia","Ukraine",44
"Serbia & Montenegro","Ukraine",12
"Slovakia","Ukraine",13
"Slovenia","Ukraine",42
"Spain","Ukraine",50
"Sweden","Ukraine",24
"Switzerland","Ukraine",11
"Turkey","Ukraine",39
"United Kingdom","Ukraine",40
"Albania","United Kingdom",38
"Andorra","United Kingdom",6
"Armenia","United Kingdom",15
"Austria","United Kingdom",201
"Azerbaijan","United Kingdom",19
"Belarus","United Kingdom",6
"Belgium","United Kingdom",199
"Bosnia & Herzegovina","United Kingdom",33
"Bulgaria","United Kingdom",29
"Croatia","United Kingdom",66
"Cyprus","United Kingdom",88
"Czech Republic","United Kingdom",27
"Denmark","United Kingdom",154
"Estonia","United Kingdom",57
"F.Y.R. Macedonia/North Macedonia","United Kingdom",36
"Finland","United Kingdom",162
"France","United Kingdom",207
"Georgia","United Kingdom",19
"Germany","United Kingdom",200
"Greece","United Kingdom",86
"Hungary","United Kingdom",38
"Iceland","United Kingdom",51
"Ireland","United Kingdom",246
"Israel","United Kingdom",165
"Italy","United Kingdom",136
"Latvia","United Kingdom",38
"Lithuania","United Kingdom",32
"Luxembourg","United Kingdom",174
"Malta","United Kingdom",146
"Moldova","United Kingdom",15
"Monaco","United Kingdom",83
"Montenegro","United Kingdom",7
"Netherlands","United Kingdom",158
"Norway","United Kingdom",169
